Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,89.220001,89.239998,88.199997,88.400002,279600,88.400002
2016-04-18,88.699997,89.419998,88.459999,88.879997,169400,88.879997
2016-04-15,88.919998,89.07,88.400002,88.940002,235000,88.940002
2016-04-14,89.00,89.110001,88.379997,88.790001,165800,88.790001
2016-04-13,87.82,88.93,87.470001,88.910004,238200,88.910004
2016-04-12,87.099998,88.260002,86.519997,87.529999,196800,87.529999
2016-04-11,88.00,88.18,86.849998,87.040001,155100,87.040001
2016-04-08,87.50,87.93,87.050003,87.550003,164000,87.550003
2016-04-07,87.040001,87.519997,86.209999,86.919998,215900,86.919998
2016-04-06,86.620003,87.620003,86.199997,87.470001,247400,87.470001
2016-04-05,86.489998,87.150002,86.129997,86.790001,249000,86.790001
2016-04-04,87.540001,87.830002,86.349998,86.769997,301600,86.769997
2016-04-01,85.809998,87.580002,85.410004,87.480003,257100,87.480003
2016-03-31,86.790001,86.800003,85.839996,86.120003,406400,86.120003
2016-03-30,88.779999,89.00,86.019997,86.68,504200,86.68
2016-03-29,86.949997,88.720001,86.690002,88.559998,465300,88.559998
2016-03-28,86.800003,87.639999,86.00,87.309998,305500,87.309998
2016-03-24,86.110001,86.220001,85.120003,86.199997,289900,86.199997
2016-03-23,85.860001,87.209999,85.529999,86.639999,443800,86.339999
2016-03-22,84.629997,86.309998,84.139999,85.769997,353700,85.473008
2016-03-21,85.800003,85.910004,84.330002,85.07,270200,84.775435
2016-03-18,85.150002,86.010002,84.669998,85.900002,464200,85.602563
2016-03-17,84.150002,85.07,83.599998,84.940002,233900,84.645888
2016-03-16,83.209999,84.330002,83.029999,83.919998,217500,83.629416
2016-03-15,82.010002,83.639999,82.010002,83.629997,279700,83.340419
2016-03-14,82.050003,82.559998,81.82,82.449997,187200,82.164505
2016-03-11,82.839996,82.860001,81.730003,82.150002,261700,81.865548
2016-03-10,83.330002,83.480003,81.550003,82.209999,234300,81.925338
2016-03-09,83.040001,83.599998,82.400002,82.82,222800,82.533226
2016-03-08,82.110001,83.260002,81.809998,82.839996,362500,82.553154
2016-03-07,82.669998,83.00,81.370003,82.18,337800,81.895443
2016-03-04,82.099998,83.260002,81.199997,83.080002,402500,82.792328
2016-03-03,81.019997,82.120003,81.010002,81.800003,266900,81.516761
2016-03-02,81.790001,81.989998,79.919998,80.959999,665000,80.679666
2016-03-01,80.370003,82.080002,79.849998,81.790001,275900,81.506794
2016-02-29,79.839996,80.690002,79.629997,79.699997,243000,79.424027
2016-02-26,79.970001,80.620003,79.639999,79.839996,260900,79.563541
2016-02-25,80.00,80.00,79.260002,79.669998,280600,79.394132
