Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,7.72,7.77,7.70,7.75,1481300,7.75
2016-04-18,7.70,7.74,7.66,7.70,2234000,7.70
2016-04-15,7.72,7.76,7.68,7.70,1690100,7.70
2016-04-14,7.81,7.84,7.66,7.71,3105200,7.71
2016-04-13,7.85,7.85,7.80,7.81,1817500,7.81
2016-04-12,7.81,7.88,7.80,7.81,2364400,7.81
2016-04-11,7.70,7.84,7.70,7.83,5340100,7.83
2016-04-08,7.72,7.79,7.68,7.68,1818800,7.68
2016-04-07,7.70,7.78,7.67,7.72,2046100,7.72
2016-04-06,7.75,7.79,7.69,7.74,1816700,7.74
2016-04-05,7.69,7.77,7.68,7.73,1794700,7.73
2016-04-04,7.79,7.82,7.73,7.74,1408100,7.74
2016-04-01,7.90,7.91,7.77,7.80,1930100,7.80
2016-03-31,7.78,7.95,7.78,7.94,2746500,7.94
2016-03-30,7.75,7.86,7.75,7.78,2303100,7.78
2016-03-29,7.74,7.77,7.56,7.75,2597400,7.75
2016-03-28,7.92,7.97,7.84,7.89,2214900,7.66
2016-03-24,7.86,7.92,7.77,7.92,1546500,7.689125
2016-03-23,8.04,8.07,7.88,7.90,2728400,7.669708
2016-03-22,8.00,8.05,7.95,8.04,1370300,7.805627
2016-03-21,7.96,8.02,7.95,8.01,1655600,7.776502
2016-03-18,7.94,7.99,7.91,7.96,3151400,7.727959
2016-03-17,7.84,8.02,7.79,7.92,2672800,7.689125
2016-03-16,7.77,7.84,7.70,7.81,1744700,7.582332
2016-03-15,7.83,7.86,7.71,7.78,1102600,7.553207
2016-03-14,7.88,7.91,7.78,7.87,2021200,7.640583
2016-03-11,7.87,7.92,7.83,7.92,1449100,7.689125
2016-03-10,7.87,7.91,7.72,7.83,1467800,7.601749
2016-03-09,7.88,7.93,7.79,7.86,1222300,7.630874
2016-03-08,8.02,8.02,7.85,7.88,1824600,7.650291
2016-03-07,7.92,8.03,7.91,8.01,1768600,7.776502
2016-03-04,7.91,8.03,7.87,7.94,2197800,7.708542
2016-03-03,7.80,7.90,7.77,7.89,1327800,7.66
2016-03-02,7.78,7.78,7.60,7.77,2362200,7.543498
2016-03-01,7.79,7.82,7.67,7.78,2365400,7.553207
2016-02-29,7.71,7.81,7.71,7.75,2064800,7.524081
2016-02-26,7.75,7.86,7.70,7.72,2544900,7.494955
2016-02-25,7.67,7.77,7.65,7.73,1479100,7.504664
2016-02-24,7.61,7.69,7.45,7.63,1728100,7.407579
2016-02-23,7.60,7.69,7.58,7.65,1604600,7.426996
2016-02-22,7.53,7.65,7.51,7.61,2641100,7.388162
2016-02-19,7.55,7.59,7.46,7.49,4064500,7.27166
2016-02-18,7.58,7.64,7.53,7.60,4213000,7.378453
2016-02-17,7.46,7.57,7.41,7.57,2899800,7.349328
2016-02-16,7.29,7.41,7.28,7.38,2570600,7.164867
2016-02-12,7.13,7.31,7.10,7.28,2762400,7.067782
2016-02-11,7.17,7.18,7.00,7.07,4971300,6.863904
2016-02-10,7.25,7.32,7.23,7.26,4299600,7.048365
2016-02-09,7.33,7.36,7.20,7.23,4776800,7.019239
2016-02-08,7.45,7.50,7.33,7.36,4734600,7.14545
2016-02-05,7.56,7.68,7.48,7.52,4309900,7.300786
2016-02-04,7.43,7.70,7.35,7.58,6826700,7.359037
2016-02-03,7.66,7.86,7.58,7.84,6452700,7.611458
2016-02-02,7.54,7.61,7.42,7.58,4030100,7.359037
2016-02-01,7.61,7.65,7.54,7.57,3302800,7.349328
2016-01-29,7.45,7.62,7.42,7.60,3068500,7.378453
2016-01-28,7.32,7.49,7.30,7.40,2949600,7.184284
2016-01-27,7.38,7.45,7.26,7.33,2119300,7.116324
2016-01-26,7.21,7.45,7.20,7.41,2486200,7.193992
2016-01-25,7.54,7.54,7.15,7.18,5858000,6.970697
2016-01-22,7.30,7.49,7.29,7.49,3336400,7.27166
2016-01-21,7.25,7.38,7.16,7.25,3457900,7.038656
2016-01-20,7.41,7.43,6.91,7.24,6716400,7.028948
2016-01-19,7.51,7.63,7.37,7.51,6127700,7.291077
2016-01-15,7.72,7.73,7.47,7.62,5641500,7.39787
2016-01-14,7.93,7.97,7.69,7.85,5271100,7.621166
2016-01-13,8.12,8.17,7.85,7.93,6368300,7.698834
2016-01-12,8.24,8.27,8.01,8.14,5287600,7.902712
2016-01-11,8.23,8.29,8.16,8.21,2621900,7.970672
2016-01-08,8.25,8.32,8.20,8.23,2591700,7.990088
2016-01-07,8.34,8.37,8.27,8.27,3231900,8.028923
2016-01-06,8.33,8.49,8.29,8.42,3092800,8.17455
2016-01-05,8.24,8.39,8.20,8.35,2579500,8.106591
2016-01-04,8.03,8.24,8.03,8.21,3657600,7.970672
2015-12-31,8.15,8.19,8.10,8.10,2841300,7.863879
2015-12-30,8.21,8.25,8.16,8.16,1779300,7.922129
2015-12-29,8.30,8.34,8.17,8.23,2951300,7.990088
2015-12-28,8.33,8.33,8.19,8.30,3248200,8.058048
2015-12-24,8.62,8.65,8.58,8.59,851300,8.087174
2015-12-23,8.58,8.66,8.53,8.62,3367800,8.115418
2015-12-22,8.41,8.60,8.40,8.55,3170200,8.049515
2015-12-21,8.45,8.48,8.32,8.40,3731600,7.908295
2015-12-18,8.41,8.50,8.36,8.41,5100300,7.91771
2015-12-17,8.33,8.46,8.30,8.41,3283800,7.91771
2015-12-16,8.15,8.33,8.14,8.31,5173900,7.823564
2015-12-15,7.93,8.15,7.89,8.10,3684100,7.625857
2015-12-14,8.09,8.10,7.80,7.94,5113300,7.475222
2015-12-11,8.15,8.18,8.01,8.04,2651700,7.569369
2015-12-10,8.17,8.23,8.15,8.19,1320000,7.710588
2015-12-09,8.15,8.26,8.12,8.16,2841900,7.682344
2015-12-08,8.22,8.23,8.13,8.18,1990300,7.701174
2015-12-07,8.24,8.27,8.15,8.25,3092100,7.767076
2015-12-04,8.33,8.37,8.26,8.27,1976100,7.785906
2015-12-03,8.30,8.33,8.26,8.33,2085700,7.842393
2015-12-02,8.44,8.45,8.31,8.31,3068900,7.823564
2015-12-01,8.52,8.57,8.46,8.47,2628000,7.974198
2015-11-30,8.52,8.57,8.47,8.50,2520700,8.002442
2015-11-27,8.40,8.53,8.39,8.51,1058200,8.011857
2015-11-25,8.39,8.42,8.34,8.42,1370800,7.927125
2015-11-24,8.40,8.45,8.38,8.40,2958400,7.908295
2015-11-23,8.45,8.47,8.41,8.42,2306700,7.927125
2015-11-20,8.44,8.50,8.41,8.44,1915800,7.945954
2015-11-19,8.38,8.48,8.35,8.46,1949400,7.964784
2015-11-18,8.26,8.38,8.24,8.35,2500500,7.861223
2015-11-17,8.27,8.32,8.22,8.26,2485700,7.776491
2015-11-16,8.28,8.31,8.21,8.27,2521000,7.785906
2015-11-13,8.28,8.32,8.22,8.29,2990100,7.804735
2015-11-12,8.36,8.39,8.26,8.26,2843200,7.776491
2015-11-11,8.36,8.44,8.35,8.38,3016900,7.889466
2015-11-10,8.25,8.40,8.25,8.35,3908500,7.861223
2015-11-09,8.25,8.29,8.21,8.24,4374800,7.757661
2015-11-06,8.16,8.33,8.16,8.27,7198600,7.785906
2015-11-05,8.50,8.50,8.10,8.23,13699100,7.748246
2015-11-04,8.65,8.69,8.57,8.62,2056600,8.115418
2015-11-03,8.63,8.67,8.60,8.65,1953300,8.143661
2015-11-02,8.45,8.66,8.45,8.63,3736500,8.124832
2015-10-30,8.59,8.61,8.45,8.46,4012900,7.964784
2015-10-29,8.64,8.67,8.52,8.59,2062000,8.087174
2015-10-28,8.62,8.72,8.52,8.68,2443500,8.171906
2015-10-27,8.80,8.80,8.57,8.61,3234600,8.106003
2015-10-26,8.88,8.92,8.80,8.80,2437500,8.284881
2015-10-23,8.92,8.94,8.85,8.88,1610400,8.360198
2015-10-22,8.90,8.95,8.84,8.91,2052900,8.388442
2015-10-21,8.90,8.93,8.85,8.86,1768300,8.341369
2015-10-20,8.90,8.94,8.84,8.89,1792200,8.369613
2015-10-19,8.93,8.97,8.90,8.91,1009800,8.388442
2015-10-16,8.96,8.99,8.90,8.93,1346300,8.407272
2015-10-15,8.94,8.97,8.81,8.94,2568800,8.416686
2015-10-14,9.05,9.07,8.92,8.94,2092700,8.416686
2015-10-13,9.11,9.16,8.99,9.06,2441100,8.529662
2015-10-12,9.15,9.24,9.12,9.13,1558500,8.595564
2015-10-09,9.11,9.16,9.05,9.13,2356400,8.595564
2015-10-08,9.17,9.22,9.11,9.12,2518600,8.586149
2015-10-07,9.02,9.17,9.02,9.16,1613400,8.623808
2015-10-06,9.00,9.09,8.99,9.02,1639000,8.492004
2015-10-05,8.85,9.03,8.85,9.02,3290900,8.492004
2015-10-02,8.79,8.86,8.71,8.85,3461400,8.331955
2015-10-01,8.84,8.87,8.72,8.81,4829000,8.294296
2015-09-30,8.78,8.83,8.69,8.82,4221500,8.30371
2015-09-29,8.92,8.99,8.75,8.79,4644000,8.275466
2015-09-28,9.21,9.23,8.83,8.91,6529400,8.388442
2015-09-25,9.58,9.63,9.49,9.49,3086600,8.68971
2015-09-24,9.60,9.63,9.53,9.57,2618300,8.762964
2015-09-23,9.56,9.68,9.53,9.62,2916000,8.808747
2015-09-22,9.52,9.58,9.50,9.53,1365000,8.726337
