Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,20.23,20.33,20.23,20.309999,31700,20.309999
2016-04-18,20.15,20.299999,20.139999,20.219999,61000,20.219999
2016-04-15,20.209999,20.25,20.16,20.16,33100,20.16
2016-04-14,20.129999,20.24,20.110001,20.200001,14600,20.200001
2016-04-13,20.040001,20.17,20.040001,20.16,33300,20.16
2016-04-12,19.879999,20.00,19.860001,20.00,25900,20.00
2016-04-11,19.93,19.969999,19.85,19.860001,57800,19.860001
2016-04-08,19.870001,19.940001,19.82,19.83,30000,19.83
2016-04-07,19.860001,19.92,19.700001,19.77,53000,19.77
2016-04-06,19.83,19.959999,19.780001,19.959999,70500,19.959999
2016-04-05,19.83,19.83,19.68,19.73,65200,19.73
2016-04-04,20.059999,20.059999,19.85,19.889999,46100,19.889999
2016-04-01,19.879999,19.99,19.709999,19.99,117900,19.99
2016-03-31,19.99,20.09,19.809999,19.959999,74800,19.959999
2016-03-30,19.98,20.040001,19.93,20.030001,48700,20.030001
2016-03-29,19.559999,19.889999,19.530001,19.879999,34300,19.879999
2016-03-28,19.709999,19.75,19.629999,19.66,46300,19.66
2016-03-24,19.700001,19.709999,19.59,19.66,55700,19.66
2016-03-23,19.879999,19.90,19.75,19.75,56000,19.75
2016-03-22,19.809999,19.90,19.75,19.83,86200,19.83
2016-03-21,19.74,19.790001,19.59,19.790001,30000,19.790001
2016-03-18,19.66,19.780001,19.639999,19.719999,56400,19.719999
2016-03-17,19.66,19.75,19.559999,19.66,92200,19.66
2016-03-16,19.50,19.65,19.469999,19.620001,39700,19.620001
2016-03-15,19.57,19.57,19.440001,19.50,34500,19.50
2016-03-14,19.60,19.610001,19.49,19.58,52600,19.58
2016-03-11,19.370001,19.65,19.370001,19.610001,57900,19.610001
2016-03-10,19.379999,19.379999,19.15,19.25,77300,19.25
2016-03-09,19.60,19.60,19.41,19.469999,105300,19.254
2016-03-08,19.52,19.57,19.379999,19.469999,124600,19.254
2016-03-07,19.42,19.559999,19.389999,19.549999,63600,19.333112
2016-03-04,19.360001,19.469999,19.25,19.43,47500,19.214444
2016-03-03,19.15,19.280001,19.15,19.26,55300,19.04633
2016-03-02,19.01,19.200001,19.01,19.17,28000,18.957329
2016-03-01,18.879999,19.10,18.860001,19.09,84900,18.878216
2016-02-29,18.799999,18.92,18.74,18.77,43700,18.561767
2016-02-26,18.84,18.92,18.790001,18.790001,46900,18.581545
2016-02-25,18.57,18.75,18.530001,18.74,77300,18.532099
2016-02-24,18.360001,18.559999,18.23,18.52,39500,18.31454
2016-02-23,18.52,18.610001,18.41,18.459999,54400,18.255204
2016-02-22,18.610001,18.67,18.540001,18.629999,58100,18.423318
2016-02-19,18.35,18.469999,18.32,18.450001,56500,18.245317
2016-02-18,18.43,18.49,18.370001,18.42,72900,18.215649
2016-02-17,18.290001,18.469999,18.26,18.43,57700,18.225538
2016-02-16,18.049999,18.200001,17.98,18.190001,81000,17.988201
2016-02-12,17.68,17.92,17.67,17.91,146400,17.711307
2016-02-11,17.719999,17.790001,17.549999,17.629999,79100,17.434412
