Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,36.630001,36.799999,36.529999,36.790001,1623500,36.790001
2016-04-18,36.290001,36.66,36.09,36.619999,1725600,36.619999
2016-04-15,35.529999,36.389999,35.349998,36.290001,1734200,36.290001
2016-04-14,35.919998,36.049999,35.200001,35.529999,1970200,35.529999
2016-04-13,37.16,37.16,36.02,36.110001,2067600,36.110001
2016-04-12,36.779999,37.029999,36.48,36.900002,1493700,36.900002
2016-04-11,37.310001,37.419998,36.709999,36.720001,2307700,36.720001
2016-04-08,37.950001,38.310001,37.630001,37.669998,887200,37.669998
2016-04-07,37.759998,37.939999,37.169998,37.700001,2102000,37.700001
2016-04-06,38.080002,38.41,37.950001,38.200001,1563600,37.905001
2016-04-05,38.330002,38.529999,37.990002,38.200001,1280800,37.905001
2016-04-04,38.48,38.610001,38.369999,38.560001,1202200,38.262222
2016-04-01,38.439999,38.57,38.119999,38.380001,1165000,38.083612
2016-03-31,38.209999,38.599998,38.07,38.529999,1387400,38.232451
2016-03-30,38.240002,38.529999,38.040001,38.25,989600,37.954614
2016-03-29,37.439999,38.150002,37.389999,38.099998,1608000,37.805771
2016-03-28,37.07,37.599998,37.049999,37.509998,865900,37.220327
2016-03-24,37.07,37.189999,36.740002,37.049999,1003400,36.763881
2016-03-23,37.470001,37.619999,37.169998,37.189999,1124600,36.902799
2016-03-22,37.259998,37.669998,37.18,37.470001,1299900,37.180639
2016-03-21,37.599998,37.91,37.290001,37.41,1994200,37.121101
2016-03-18,38.130001,38.34,37.740002,37.799999,5982500,37.508089
2016-03-17,37.290001,38.209999,37.25,38.099998,1965400,37.805771
2016-03-16,36.889999,37.470001,36.810001,37.380001,1415900,37.091334
2016-03-15,36.389999,37.139999,36.389999,37.060001,2033100,36.773806
2016-03-14,36.41,37.099998,36.220001,36.439999,1815400,36.158591
2016-03-11,36.150002,36.43,35.990002,36.419998,2252300,36.138745
2016-03-10,36.060001,36.200001,35.240002,35.689999,1878000,35.414383
2016-03-09,35.439999,36.02,35.130001,35.77,2387800,35.493767
2016-03-08,35.919998,36.00,35.25,35.380001,3223300,35.106779
2016-03-07,35.18,36.119999,34.98,35.84,4356600,35.563226
2016-03-04,36.41,36.41,34.759998,34.759998,53725900,34.491564
2016-03-03,36.259998,36.549999,35.700001,36.529999,1429600,36.247896
2016-03-02,35.509998,36.32,34.619999,36.169998,1677900,35.890675
2016-03-01,34.48,35.650002,34.330002,35.639999,1386400,35.36477
2016-02-29,34.419998,35.09,34.330002,34.330002,1744200,34.064888
2016-02-26,34.509998,34.619999,34.110001,34.369999,1202500,34.104577
2016-02-25,33.950001,34.540001,33.849998,34.529999,1668700,34.263341
2016-02-24,34.040001,34.139999,33.349998,33.689999,1592400,33.429828
2016-02-23,34.209999,34.82,33.82,34.240002,752100,33.975583
2016-02-22,34.400002,34.830002,34.240002,34.400002,927100,34.134348
2016-02-19,33.68,34.400002,33.50,34.16,2051800,33.896199
2016-02-18,33.73,34.139999,33.560001,33.900002,1453300,33.638209
2016-02-17,34.029999,34.34,33.630001,33.650002,2026100,33.390139
2016-02-16,33.82,33.900002,33.32,33.860001,2149200,33.598517
2016-02-12,33.41,33.509998,32.91,33.389999,2008600,33.132145
2016-02-11,33.32,33.52,32.900002,33.150002,1387900,32.894001
2016-02-10,33.540001,34.299999,33.540001,33.919998,1520300,33.658051
2016-02-09,33.59,34.189999,33.349998,33.419998,2115900,33.161912
2016-02-08,34.93,35.810001,33.560001,33.900002,2186900,33.638209
2016-02-05,36.77,36.82,34.959999,35.02,2092800,34.749559
2016-02-04,36.16,37.189999,35.82,36.77,2820900,36.486044
2016-02-03,35.860001,36.82,35.599998,36.360001,2650700,36.079211
2016-02-02,36.279999,36.450001,35.34,35.48,2842400,35.206005
2016-02-01,35.34,36.610001,35.209999,36.150002,2510900,35.870833
2016-01-29,35.360001,35.68,34.75,35.59,3071800,35.315156
2016-01-28,35.68,35.91,34.91,35.040001,1879100,34.769405
2016-01-27,36.509998,36.509998,35.25,35.560001,1893200,35.285389
2016-01-26,35.470001,36.549999,35.439999,36.549999,1681100,36.267742
2016-01-25,35.740002,36.080002,35.27,35.41,1756400,35.136546
2016-01-22,35.220001,35.849998,34.959999,35.709999,1328000,35.434229
2016-01-21,34.98,35.27,34.50,34.77,1540700,34.501489
2016-01-20,35.59,36.310001,34.189999,34.860001,2513500,34.590794
2016-01-19,35.84,36.25,35.549999,35.849998,1976000,35.573147
2016-01-15,34.630001,35.860001,34.630001,35.779999,1814000,35.503688
2016-01-14,36.060001,36.290001,35.439999,35.439999,1734800,35.166313
2016-01-13,36.09,36.549999,35.84,35.990002,2057500,35.712069
2016-01-12,36.439999,36.529999,35.75,36.02,1936600,35.741836
2016-01-11,36.099998,36.75,36.060001,36.400002,1608200,36.118903
2016-01-08,36.669998,36.75,35.91,35.990002,2275100,35.712069
2016-01-07,36.25,36.75,36.25,36.470001,1973900,36.188362
2016-01-06,37.09,37.470001,36.919998,37.169998,1234500,36.607098
2016-01-05,36.970001,37.630001,36.950001,37.439999,1052300,36.87301
2016-01-04,37.52,37.57,36.66,36.970001,1655700,36.41013
2015-12-31,37.82,37.990002,36.919998,37.57,1635600,37.001042
2015-12-30,37.900002,38.07,37.720001,37.759998,816700,37.188164
2015-12-29,37.59,38.049999,37.580002,37.889999,967900,37.316196
2015-12-28,36.860001,37.419998,36.740002,37.419998,977900,36.853312
2015-12-24,36.91,37.02,36.639999,36.93,442600,36.370735
2015-12-23,36.599998,36.959999,36.540001,36.950001,964500,36.390433
