Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,55.799999,56.34,55.040001,55.490002,38500,55.490002
2016-04-18,55.830002,55.889999,55.049999,55.84,22800,55.84
2016-04-15,55.209999,56.099998,55.18,55.830002,32500,55.830002
2016-04-14,55.07,55.490002,54.830002,55.34,19800,55.34
2016-04-13,55.580002,55.580002,54.790001,55.25,36100,55.25
2016-04-12,54.82,55.889999,54.82,55.330002,41100,55.330002
2016-04-11,55.330002,56.029999,55.07,55.200001,22500,55.200001
2016-04-08,55.48,55.869999,54.84,55.400002,16900,55.400002
2016-04-07,55.50,55.900002,54.73,55.299999,31300,55.299999
2016-04-06,55.560001,55.689999,55.049999,55.57,31800,55.57
2016-04-05,55.099998,55.98,55.029999,55.740002,47300,55.740002
2016-04-04,55.93,55.990002,55.150002,55.419998,37600,55.419998
2016-04-01,55.990002,56.209999,55.52,56.040001,29200,56.040001
2016-03-31,56.27,57.02,54.91,56.25,75900,56.25
2016-03-30,56.970001,56.970001,56.00,56.139999,37200,56.139999
2016-03-29,54.720001,56.990002,54.720001,56.799999,71400,56.799999
2016-03-28,54.189999,54.939999,54.110001,54.91,50200,54.91
2016-03-24,53.259998,54.099998,52.970001,54.02,33800,54.02
2016-03-23,53.32,53.950001,52.990002,53.41,35200,53.41
2016-03-22,53.279999,53.650002,52.650002,53.509998,41200,53.509998
2016-03-21,54.77,55.110001,53.830002,53.849998,51700,53.849998
2016-03-18,54.860001,55.349998,53.900002,54.82,134500,54.82
2016-03-17,53.060001,54.650002,52.799999,54.34,72500,54.34
2016-03-16,52.540001,53.220001,51.98,52.93,35100,52.93
2016-03-15,53.00,53.27,51.759998,52.740002,32800,52.740002
2016-03-14,53.549999,53.619999,53.00,53.279999,21200,53.279999
2016-03-11,54.400002,54.540001,53.57,54.369999,43100,53.724998
2016-03-10,54.82,54.82,53.330002,53.549999,24500,52.914726
2016-03-09,53.349998,54.540001,53.349998,54.459999,28300,53.813931
2016-03-08,54.16,54.970001,53.52,53.610001,43300,52.974016
2016-03-07,53.799999,54.73,53.009998,54.360001,44100,53.715119
2016-03-04,54.00,54.240002,53.18,53.610001,73800,52.974016
2016-03-03,53.639999,53.919998,53.009998,53.91,81000,53.270456
2016-03-02,52.439999,53.619999,52.119999,53.439999,45400,52.806031
2016-03-01,51.849998,52.470001,51.380001,52.459999,41800,51.837657
2016-02-29,52.330002,53.200001,51.720001,51.84,46600,51.225013
2016-02-26,52.900002,53.209999,52.049999,52.139999,33700,51.521454
2016-02-25,51.50,53.549999,51.130001,52.849998,45900,52.22303
2016-02-24,51.669998,52.240002,50.50,51.43,42300,50.819877
2016-02-23,50.93,52.560001,50.93,51.93,51500,51.313946
2016-02-22,51.91,52.900002,50.27,51.240002,105500,50.632133
2016-02-19,50.790001,52.209999,50.450001,51.57,85000,50.958216
2016-02-18,49.98,50.889999,49.669998,50.799999,54300,50.19735
2016-02-17,50.34,51.060001,49.57,50.049999,52100,49.456247
2016-02-16,48.509998,50.630001,47.52,50.099998,86900,49.505654
2016-02-12,47.709999,48.09,47.099998,47.66,30700,47.094601
2016-02-11,47.00,47.57,45.970001,47.259998,34200,46.699345
2016-02-10,47.580002,48.490002,47.450001,47.57,30300,47.005669
2016-02-09,48.52,48.950001,47.48,47.59,40700,47.025432
2016-02-08,48.689999,49.16,47.700001,48.939999,50800,48.359415
2016-02-05,49.98,49.98,49.27,49.41,67200,48.823841
2016-02-04,50.16,50.639999,49.759998,50.200001,31500,49.60447
2016-02-03,50.59,51.00,49.900002,50.189999,30300,49.594586
2016-02-02,50.52,50.540001,49.82,50.330002,26400,49.732928
2016-02-01,50.91,51.48,50.450001,50.799999,35800,50.19735
2016-01-29,49.02,50.849998,49.02,50.830002,50200,50.226997
2016-01-28,48.77,49.630001,48.529999,48.84,31800,48.260603
2016-01-27,49.849998,49.849998,48.34,48.59,32000,48.013569
2016-01-26,49.16,50.080002,48.810001,50.080002,42500,49.485894
2016-01-25,49.18,49.990002,48.720001,48.77,37800,48.191434
2016-01-22,47.880001,49.650002,47.880001,49.25,34000,48.665739
2016-01-21,47.419998,48.310001,47.169998,47.740002,49600,47.173654
2016-01-20,47.860001,48.060001,45.419998,47.290001,69800,46.728991
2016-01-19,47.93,48.52,47.59,48.279999,52000,47.707245
2016-01-15,47.099998,47.50,46.349998,47.43,55200,46.86733
2016-01-14,48.07,48.560001,47.07,47.959999,36300,47.391041
2016-01-13,49.02,49.560001,47.740002,47.970001,38700,47.400925
2016-01-12,50.279999,50.279999,48.77,49.02,35700,48.438468
2016-01-11,49.220001,50.450001,49.009998,49.98,40000,49.387078
2016-01-08,49.91,50.599998,49.060001,49.169998,42700,48.586686
2016-01-07,50.299999,50.779999,49.759998,49.799999,44300,49.209213
2016-01-06,49.860001,51.130001,49.860001,51.07,36100,50.464148
2016-01-05,49.110001,50.560001,49.09,50.330002,35500,49.732928
2016-01-04,49.43,49.650002,48.560001,48.84,57500,48.260603
2015-12-31,51.419998,51.419998,50.009998,50.009998,54400,49.416721
2015-12-30,51.639999,51.75,51.119999,51.139999,24500,50.533317
2015-12-29,51.049999,51.82,51.049999,51.57,48200,50.958216
2015-12-28,49.869999,50.970001,49.509998,50.93,42800,50.325809
2015-12-24,49.77,50.02,49.689999,49.779999,12600,49.18945
2015-12-23,50.080002,50.080002,49.380001,49.84,28700,49.24874
