Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,25.190001,25.219999,25.16,25.200001,24800,25.200001
2016-04-18,25.120001,25.15,25.030001,25.120001,64700,25.120001
2016-04-15,25.41,25.41,24.940001,24.940001,182600,24.940001
2016-04-14,25.34,25.52,25.34,25.450001,15600,25.450001
2016-04-13,25.40,25.440001,25.209999,25.440001,14300,25.440001
2016-04-12,25.370001,25.370001,25.27,25.309999,11900,25.309999
2016-04-11,25.32,25.43,25.110001,25.24,8700,25.24
2016-04-08,25.25,25.25,25.139999,25.17,15200,25.17
2016-04-07,25.219999,25.299999,25.02,25.139999,17100,25.139999
2016-04-06,25.24,25.48,25.24,25.290001,13000,25.290001
2016-04-05,25.10,25.32,25.10,25.299999,8000,25.299999
2016-04-04,25.379999,25.42,25.200001,25.219999,10900,25.219999
2016-04-01,25.52,25.67,25.379999,25.389999,15300,25.389999
2016-03-31,25.52,25.65,25.379999,25.57,28400,25.57
2016-03-30,25.49,25.549999,25.49,25.530001,13900,25.530001
2016-03-29,25.469999,25.50,25.34,25.50,32400,25.50
2016-03-28,25.370001,25.49,25.370001,25.48,20900,25.48
2016-03-24,25.309999,25.469999,25.309999,25.42,7000,25.42
2016-03-23,25.280001,25.40,25.23,25.35,11500,25.35
2016-03-22,25.24,25.360001,25.24,25.290001,7900,25.290001
2016-03-21,25.33,25.34,25.25,25.280001,8800,25.280001
2016-03-18,25.24,25.290001,25.209999,25.24,5000,25.24
2016-03-17,25.16,25.299999,25.15,25.24,20000,25.24
2016-03-16,25.129999,25.219999,25.040001,25.219999,14500,25.219999
2016-03-15,25.16,25.290001,25.049999,25.15,109500,25.15
2016-03-14,25.26,25.27,25.209999,25.24,7800,25.24
2016-03-11,25.27,25.290001,25.07,25.219999,18600,25.219999
2016-03-10,25.07,25.280001,25.059999,25.200001,20900,25.200001
2016-03-09,25.34,25.50,25.33,25.49,15400,25.055999
2016-03-08,25.370001,25.389999,25.26,25.34,10700,24.908554
2016-03-07,25.41,25.440001,25.379999,25.41,8600,24.977361
2016-03-04,25.33,25.48,25.33,25.48,13900,25.046169
2016-03-03,25.49,25.49,25.309999,25.370001,11700,24.938043
2016-03-02,25.49,25.49,25.25,25.42,22700,24.987191
2016-03-01,25.23,25.52,25.23,25.370001,24600,24.938043
2016-02-29,25.09,25.24,25.049999,25.049999,26800,24.62349
2016-02-26,25.17,25.200001,25.129999,25.200001,23900,24.770938
2016-02-25,24.99,25.139999,24.940001,25.129999,11800,24.702128
2016-02-24,24.889999,24.99,24.790001,24.98,12400,24.554682
2016-02-23,24.780001,24.940001,24.780001,24.92,8300,24.495705
2016-02-22,24.959999,24.99,24.690001,24.940001,24100,24.515364
2016-02-19,24.59,24.90,24.58,24.860001,38800,24.436727
2016-02-18,24.98,24.98,24.709999,24.82,17200,24.397407
2016-02-17,24.620001,24.959999,24.620001,24.889999,14000,24.466215
2016-02-16,24.780001,24.780001,24.530001,24.58,11600,24.161493
2016-02-12,24.35,24.549999,24.33,24.50,21800,24.082856
2016-02-11,24.77,24.879999,24.17,24.25,33600,23.837112
2016-02-10,24.809999,24.99,24.809999,24.860001,14100,24.436727
2016-02-09,24.780001,24.969999,24.780001,24.809999,20700,24.387577
2016-02-08,24.879999,25.08,24.879999,24.93,24900,24.505535
2016-02-05,25.040001,25.08,25.00,25.00,18600,24.574342
2016-02-04,25.129999,25.26,25.00,25.01,43000,24.584172
2016-02-03,25.290001,25.299999,25.139999,25.24,21700,24.810256
2016-02-02,25.18,25.299999,25.17,25.219999,23600,24.790596
2016-02-01,25.200001,25.33,25.18,25.24,9800,24.810256
2016-01-29,25.18,25.299999,25.17,25.25,13500,24.820086
2016-01-28,25.190001,25.190001,25.059999,25.190001,17300,24.761108
2016-01-27,25.049999,25.18,25.049999,25.15,9500,24.721788
2016-01-26,25.049999,25.139999,25.049999,25.129999,11700,24.702128
2016-01-25,25.040001,25.15,25.02,25.129999,15100,24.702128
2016-01-22,25.16,25.190001,25.049999,25.110001,6500,24.68247
2016-01-21,24.950001,25.129999,24.870001,25.040001,18100,24.613662
2016-01-20,25.00,25.09,24.90,25.02,30400,24.594002
2016-01-19,25.08,25.190001,25.08,25.15,14900,24.721788
2016-01-15,24.629999,25.219999,24.629999,25.18,6500,24.751278
2016-01-14,25.290001,25.290001,25.10,25.25,9000,24.820086
2016-01-13,25.25,25.25,25.10,25.219999,4400,24.790596
2016-01-12,25.280001,25.280001,25.16,25.209999,7000,24.780766
2016-01-11,25.290001,25.290001,25.120001,25.18,12500,24.751278
