Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.89,13.90,13.77,13.80,89800,13.80
2016-04-18,13.86,13.89,13.83,13.85,36400,13.85
2016-04-15,13.76,13.84,13.76,13.84,74700,13.84
2016-04-14,13.81,13.85,13.72,13.73,100600,13.73
2016-04-13,13.83,13.87,13.80,13.82,93100,13.82
2016-04-12,13.85,13.90,13.82,13.83,92200,13.83
2016-04-11,13.98,13.98,13.84,13.84,158300,13.84
2016-04-08,14.00,14.06,13.96,14.00,103900,13.937
2016-04-07,13.94,13.98,13.93,13.98,54800,13.91709
2016-04-06,13.92,13.97,13.88,13.90,63200,13.83745
2016-04-05,13.88,13.95,13.86,13.92,77500,13.85736
2016-04-04,13.83,13.90,13.79,13.83,75000,13.767765
2016-04-01,13.90,13.91,13.77,13.81,128600,13.747856
2016-03-31,13.92,13.95,13.84,13.86,73000,13.79763
2016-03-30,14.00,14.00,13.86,13.88,126700,13.817541
2016-03-29,13.95,14.00,13.91,13.97,113600,13.907136
2016-03-28,13.87,13.91,13.86,13.91,74100,13.847405
2016-03-24,13.82,13.87,13.79,13.84,54700,13.777721
2016-03-23,13.77,13.81,13.74,13.81,60100,13.747856
2016-03-22,13.69,13.77,13.69,13.77,90200,13.708036
2016-03-21,13.69,13.71,13.65,13.65,62500,13.588575
2016-03-18,13.69,13.71,13.68,13.69,42600,13.628395
2016-03-17,13.70,13.75,13.64,13.64,64800,13.578621
2016-03-16,13.68,13.70,13.64,13.70,52800,13.63835
2016-03-15,13.73,13.75,13.64,13.64,75500,13.578621
2016-03-14,13.72,13.73,13.67,13.71,72300,13.648305
2016-03-11,13.76,13.76,13.63,13.63,63900,13.568665
2016-03-10,13.72,13.75,13.69,13.73,81300,13.668215
2016-03-09,13.69,13.80,13.68,13.79,93200,13.665228
2016-03-08,13.60,13.70,13.59,13.70,102400,13.576042
2016-03-07,13.66,13.67,13.55,13.62,128300,13.496766
2016-03-04,13.70,13.72,13.65,13.68,151000,13.556224
2016-03-03,13.61,13.72,13.59,13.70,128400,13.576042
