Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,21.83,21.969999,21.530001,21.68,68800,21.68
2016-04-18,21.41,22.02,21.41,21.76,177800,21.76
2016-04-15,21.60,21.719999,21.41,21.57,121300,21.57
2016-04-14,21.610001,21.82,21.42,21.620001,134700,21.620001
2016-04-13,20.76,21.780001,20.76,21.700001,240100,21.700001
2016-04-12,20.440001,20.76,20.440001,20.639999,186400,20.639999
2016-04-11,20.41,20.73,20.34,20.450001,205700,20.450001
2016-04-08,20.65,20.98,20.40,20.469999,250400,20.369999
2016-04-07,21.50,21.530001,20.41,20.450001,463900,20.350098
2016-04-06,21.77,21.83,21.459999,21.58,287100,21.474577
2016-04-05,21.60,22.120001,21.549999,21.690001,180100,21.584041
2016-04-04,22.469999,22.469999,21.610001,21.74,209400,21.633796
2016-04-01,22.18,22.65,21.889999,22.379999,260900,22.270668
2016-03-31,22.51,22.76,22.32,22.450001,201200,22.340328
2016-03-30,22.969999,22.969999,22.030001,22.440001,247100,22.330377
2016-03-29,21.530001,23.09,21.26,22.940001,696100,22.827934
2016-03-28,21.450001,22.08,21.379999,21.530001,343800,21.424822
2016-03-24,20.73,21.450001,20.030001,21.309999,471400,21.205896
2016-03-23,20.57,20.790001,20.35,20.559999,227800,20.45956
2016-03-22,21.34,21.559999,20.469999,20.66,319400,20.559072
2016-03-21,21.66,21.90,21.23,21.48,359800,21.375066
2016-03-18,21.41,22.02,21.25,21.68,449100,21.574089
2016-03-17,20.90,21.43,20.73,21.27,126300,21.166092
2016-03-16,20.25,20.99,20.25,20.92,150600,20.817802
2016-03-15,20.559999,20.75,20.23,20.299999,143300,20.20083
2016-03-14,20.690001,20.82,20.50,20.73,195100,20.628729
2016-03-11,20.42,20.74,20.280001,20.66,314500,20.559072
2016-03-10,20.82,20.92,20.10,20.200001,344200,20.10132
2016-03-09,20.389999,20.68,20.23,20.67,250800,20.569023
2016-03-08,20.200001,20.58,20.030001,20.209999,326000,20.111269
2016-03-07,19.879999,20.24,19.879999,20.10,175100,20.001808
2016-03-04,19.709999,20.02,19.549999,19.98,239400,19.882393
2016-03-03,19.290001,19.809999,19.290001,19.700001,256700,19.603762
2016-03-02,19.059999,19.42,19.059999,19.360001,194100,19.265423
2016-03-01,18.959999,19.209999,18.74,19.09,206900,18.996742
2016-02-29,18.82,18.99,18.68,18.73,277700,18.6385
2016-02-26,18.98,18.98,18.290001,18.799999,257400,18.708158
2016-02-25,18.709999,18.90,18.370001,18.82,258800,18.72806
2016-02-24,18.379999,18.690001,18.09,18.610001,234500,18.519087
2016-02-23,18.91,19.00,18.370001,18.719999,247600,18.628548
2016-02-22,18.50,18.959999,18.389999,18.940001,235300,18.847475
2016-02-19,18.23,18.52,17.82,18.280001,281200,18.190699
2016-02-18,18.360001,18.58,18.10,18.27,202600,18.180748
2016-02-17,17.90,19.049999,17.879999,18.290001,347200,18.200651
2016-02-16,17.41,17.799999,17.389999,17.74,318300,17.653336
2016-02-12,17.030001,17.370001,16.809999,17.26,214800,17.175682
2016-02-11,16.57,16.90,16.48,16.82,257900,16.737831
2016-02-10,16.559999,17.34,16.559999,16.85,456200,16.767685
2016-02-09,16.379999,16.65,15.41,16.530001,818200,16.449248
2016-02-08,16.99,17.280001,16.450001,16.99,287500,16.907
2016-02-05,17.67,17.67,17.08,17.15,157700,17.066218
2016-02-04,17.549999,17.889999,17.549999,17.700001,413400,17.613533
2016-02-03,17.309999,17.65,16.690001,17.48,318300,17.394606
2016-02-02,17.440001,17.639999,16.91,17.120001,158900,17.036366
2016-02-01,17.50,17.780001,17.26,17.610001,306400,17.523972
2016-01-29,17.15,17.610001,17.139999,17.610001,353600,17.523972
2016-01-28,17.65,17.690001,16.92,17.120001,199100,17.036366
2016-01-27,17.51,17.84,17.360001,17.440001,131600,17.354803
2016-01-26,17.43,17.73,17.32,17.540001,173600,17.454315
2016-01-25,17.719999,17.76,17.18,17.299999,161200,17.215485
2016-01-22,17.790001,18.190001,17.620001,17.74,179100,17.653336
2016-01-21,17.16,17.870001,16.99,17.48,236500,17.394606
2016-01-20,16.389999,17.35,16.110001,17.10,281900,17.016464
2016-01-19,17.27,17.280001,16.43,16.67,268600,16.588564
2016-01-15,16.389999,17.290001,16.299999,17.190001,373600,17.106024
2016-01-14,17.08,17.190001,16.57,16.860001,345900,16.777636
2016-01-13,17.799999,17.99,17.00,17.07,264400,16.986609
2016-01-12,18.030001,18.07,17.440001,17.799999,313500,17.713043
2016-01-11,18.18,18.219999,17.629999,17.889999,340100,17.802603
2016-01-08,18.610001,18.690001,18.139999,18.200001,309900,18.011579
2016-01-07,18.440001,18.66,18.24,18.41,283400,18.219404
2016-01-06,19.030001,19.110001,18.58,18.73,249400,18.536091
2016-01-05,19.370001,19.52,19.18,19.24,218500,19.040811
2016-01-04,19.60,19.60,18.870001,19.25,265800,19.050708
2015-12-31,20.50,20.50,19.889999,19.90,217500,19.693978
2015-12-30,20.18,20.889999,20.16,20.52,252400,20.30756
2015-12-29,20.129999,20.549999,20.030001,20.299999,276700,20.089836
2015-12-28,20.10,20.129999,19.540001,19.889999,249500,19.684081
2015-12-24,19.90,20.35,19.85,20.219999,161300,20.010665
2015-12-23,19.57,19.889999,19.559999,19.870001,290100,19.66429
2015-12-22,19.00,19.59,18.83,19.43,426400,19.228844
2015-12-21,19.120001,19.26,18.209999,18.85,295600,18.654849
2015-12-18,18.49,19.280001,18.27,18.969999,1108600,18.773606
2015-12-17,20.41,20.969999,18.41,18.58,1359700,18.387644
2015-12-16,21.27,21.43,21.190001,21.35,592000,21.128967
2015-12-15,20.959999,21.09,20.83,21.049999,440900,20.832072
2015-12-14,20.83,21.040001,20.629999,20.83,216200,20.61435
2015-12-11,20.93,21.190001,20.75,20.90,234600,20.683625
2015-12-10,21.389999,21.559999,21.120001,21.24,233700,21.020105
2015-12-09,21.620001,21.969999,21.200001,21.389999,221900,21.168552
2015-12-08,21.67,21.860001,21.459999,21.58,209300,21.356585
2015-12-07,21.98,22.15,21.790001,21.84,134200,21.613894
2015-12-04,22.110001,22.35,21.90,22.09,196500,21.861306
2015-12-03,23.10,23.209999,22.129999,22.139999,218400,21.910787
2015-12-02,22.940001,23.299999,22.91,23.049999,258400,22.811366
2015-12-01,22.73,23.120001,22.59,23.02,242300,22.781678
2015-11-30,22.32,22.67,22.17,22.50,301800,22.267061
2015-11-27,21.57,22.32,21.57,22.23,176700,21.999856
2015-11-25,21.530001,21.84,21.40,21.52,229100,21.297207
2015-11-24,21.469999,21.629999,21.309999,21.459999,191000,21.237827
2015-11-23,21.549999,21.700001,21.370001,21.57,137000,21.346689
2015-11-20,21.530001,21.809999,21.41,21.549999,145600,21.326895
2015-11-19,21.889999,22.049999,21.33,21.549999,285200,21.326895
2015-11-18,20.389999,22.030001,20.389999,21.959999,468000,21.732651
2015-11-17,20.559999,20.76,20.16,20.35,155300,20.13932
2015-11-16,20.379999,20.66,20.190001,20.549999,129500,20.337248
2015-11-13,20.709999,21.00,20.370001,20.40,234100,20.188801
2015-11-12,21.040001,21.50,20.780001,20.84,234400,20.624247
2015-11-11,21.16,21.440001,21.10,21.190001,143300,20.970624
2015-11-10,21.049999,21.41,20.98,21.08,153900,20.861762
2015-11-09,21.48,21.52,20.92,21.129999,164800,20.911243
2015-11-06,21.200001,21.75,20.690001,21.48,240800,21.25762
2015-11-05,21.65,21.879999,21.34,21.379999,249600,21.059691
2015-11-04,21.73,22.59,21.50,21.639999,544900,21.315796
2015-11-03,21.559999,21.90,21.540001,21.639999,235700,21.315796
2015-11-02,20.969999,21.809999,20.860001,21.68,502100,21.355197
2015-10-30,20.83,21.040001,20.52,20.99,250500,20.675534
2015-10-29,20.98,21.09,20.639999,20.870001,226500,20.557333
2015-10-28,20.00,21.18,19.959999,21.129999,358600,20.813436
2015-10-27,20.58,20.59,19.82,19.91,328200,19.611714
2015-10-26,20.58,20.75,20.48,20.73,233400,20.419429
2015-10-23,20.48,20.82,20.41,20.68,199300,20.370179
2015-10-22,20.51,20.83,20.17,20.41,336500,20.104224
2015-10-21,20.860001,21.040001,20.43,20.450001,358400,20.143625
2015-10-20,20.690001,21.26,20.65,20.85,408600,20.537632
2015-10-19,19.969999,20.85,19.90,20.82,542700,20.508081
