Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,38.009998,38.580002,37.639999,38.049999,351100,38.049999
2016-04-18,37.07,37.950001,37.00,37.580002,364100,37.580002
2016-04-15,36.950001,37.68,36.810001,37.360001,319700,37.360001
2016-04-14,37.279999,37.290001,36.669998,37.00,298600,37.00
2016-04-13,37.32,37.599998,37.060001,37.240002,452100,37.240002
2016-04-12,36.41,36.91,36.130001,36.759998,244600,36.759998
2016-04-11,36.450001,36.669998,36.23,36.369999,243800,36.369999
2016-04-08,35.220001,36.130001,35.080002,35.880001,385300,35.880001
2016-04-07,35.150002,35.50,34.52,34.790001,347100,34.790001
2016-04-06,35.880001,35.91,35.299999,35.380001,407300,35.380001
2016-04-05,35.52,36.439999,35.459999,35.939999,336600,35.939999
2016-04-04,36.360001,36.82,35.799999,35.860001,398100,35.860001
2016-04-01,35.32,36.490002,34.779999,36.41,454000,36.41
2016-03-31,36.259998,36.66,35.57,35.639999,427100,35.639999
2016-03-30,36.189999,36.68,35.560001,36.139999,445300,36.139999
2016-03-29,35.459999,36.169998,35.02,36.080002,717200,36.080002
2016-03-28,36.029999,36.029999,35.34,35.59,380000,35.59
2016-03-24,35.450001,36.189999,35.43,35.709999,531200,35.709999
2016-03-23,35.130001,37.209999,35.00,35.240002,579700,35.240002
2016-03-22,36.150002,36.560001,35.50,36.169998,330900,36.169998
2016-03-21,36.740002,36.75,35.869999,36.400002,369700,36.400002
2016-03-18,36.299999,36.950001,35.799999,36.439999,898000,36.439999
2016-03-17,34.470001,36.119999,33.860001,35.990002,504000,35.990002
2016-03-16,33.389999,34.73,33.029999,34.43,414900,34.43
2016-03-15,33.869999,33.900002,33.040001,33.450001,333700,33.450001
2016-03-14,33.759998,34.98,32.919998,34.360001,483200,34.360001
2016-03-11,33.52,34.509998,33.099998,34.049999,338800,34.049999
2016-03-10,33.110001,33.27,32.360001,33.259998,329600,33.069998
2016-03-09,32.709999,33.189999,32.209999,33.040001,394000,32.851258
2016-03-08,33.419998,33.759998,32.41,32.57,493300,32.383941
2016-03-07,32.700001,33.77,32.459999,33.77,435800,33.577087
2016-03-04,33.869999,34.02,32.580002,32.68,477400,32.493314
2016-03-03,33.240002,33.950001,33.09,33.91,513400,33.716287
2016-03-02,32.169998,33.279999,32.169998,33.25,369300,33.060057
2016-03-01,31.41,32.099998,31.09,32.060001,281700,31.876856
2016-02-29,30.82,31.65,30.790001,31.110001,258100,30.932283
2016-02-26,30.700001,31.18,30.49,30.700001,227600,30.524625
2016-02-25,30.27,30.540001,29.940001,30.540001,174800,30.365539
2016-02-24,29.860001,30.440001,29.60,30.33,241100,30.156738
2016-02-23,29.860001,30.530001,29.709999,30.309999,318100,30.136852
2016-02-22,30.110001,30.459999,29.73,30.17,206400,29.997652
2016-02-19,29.690001,30.040001,29.370001,29.629999,223800,29.460736
2016-02-18,30.280001,30.309999,29.620001,29.84,200400,29.669537
2016-02-17,29.709999,30.610001,29.709999,30.299999,275200,30.126908
2016-02-16,29.559999,29.969999,28.959999,29.559999,289600,29.391136
2016-02-12,28.360001,29.360001,28.33,29.280001,288200,29.112737
2016-02-11,27.950001,28.43,27.51,27.889999,200400,27.730676
2016-02-10,28.49,28.75,28.209999,28.360001,163100,28.197992
2016-02-09,28.030001,28.82,28.030001,28.379999,379500,28.217876
2016-02-08,28.940001,29.219999,28.34,28.90,350500,28.734906
2016-02-05,29.370001,30.15,29.209999,29.33,300500,29.16245
2016-02-04,29.68,30.73,29.34,29.75,478000,29.580051
2016-02-03,29.209999,29.809999,28.40,29.58,466800,29.411022
2016-02-02,28.15,29.23,28.110001,28.860001,301900,28.695136
2016-02-01,30.200001,30.23,28.790001,28.83,448800,28.665307
2016-01-29,28.299999,30.709999,27.559999,30.59,684600,30.415253
2016-01-28,27.940001,28.290001,27.440001,28.26,252800,28.098563
2016-01-27,27.49,28.139999,27.40,27.50,215600,27.342904
