Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,50.860001,51.240002,50.700001,51.209999,688900,51.209999
2016-04-18,50.50,51.02,50.150002,50.860001,654100,50.860001
2016-04-15,50.029999,51.009998,49.91,50.599998,1038700,50.599998
2016-04-14,50.509998,50.869999,50.189999,50.360001,973400,50.360001
2016-04-13,50.82,50.849998,50.25,50.66,665000,50.66
2016-04-12,50.16,50.779999,50.150002,50.650002,810800,50.650002
2016-04-11,50.779999,51.18,50.040001,50.09,1624700,50.09
2016-04-08,49.799999,52.82,49.75,50.610001,2141300,50.610001
2016-04-07,49.619999,50.139999,49.57,49.73,1068200,49.73
2016-04-06,49.07,49.799999,48.98,49.790001,994300,49.790001
2016-04-05,50.00,50.07,49.259998,49.279999,1059200,49.279999
2016-04-04,50.23,50.330002,49.669998,50.139999,1403800,50.139999
2016-04-01,49.32,50.490002,48.919998,50.349998,1181600,50.349998
2016-03-31,49.939999,50.380001,49.509998,49.610001,1082000,49.610001
2016-03-30,50.139999,50.139999,49.299999,49.799999,989300,49.799999
2016-03-29,48.490002,49.939999,48.23,49.91,1996400,49.91
2016-03-28,48.360001,48.490002,47.700001,48.25,978100,48.25
2016-03-24,47.880001,48.369999,47.52,48.299999,872100,48.299999
2016-03-23,47.720001,48.00,47.189999,47.82,746800,47.82
2016-03-22,47.700001,48.380001,47.310001,47.84,675900,47.84
2016-03-21,48.060001,48.25,47.23,47.77,679700,47.77
2016-03-18,47.970001,48.529999,47.549999,48.330002,1484400,48.330002
2016-03-17,47.970001,48.360001,47.720001,48.139999,857200,48.139999
2016-03-16,47.009998,47.970001,46.950001,47.82,1203500,47.82
2016-03-15,46.810001,47.630001,46.650002,47.360001,862200,47.360001
2016-03-14,46.200001,46.959999,46.139999,46.849998,1425300,46.849998
2016-03-11,46.900002,48.279999,46.380001,46.43,3025200,46.43
2016-03-10,44.009998,48.439999,43.389999,46.900002,6977900,46.900002
2016-03-09,43.580002,44.16,43.580002,44.080002,710800,44.080002
2016-03-08,43.669998,43.900002,43.279999,43.689999,741600,43.689999
