Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.08,13.15,13.00,13.09,121600,13.09
2016-04-18,13.07,13.14,13.03,13.09,48200,13.09
2016-04-15,12.93,13.23,12.91,13.12,196500,13.12
2016-04-14,12.93,13.00,12.83,12.99,163100,12.99
2016-04-13,12.91,12.98,12.75,12.98,95500,12.98
2016-04-12,12.79,12.92,12.75,12.82,78500,12.82
2016-04-11,12.60,12.90,12.58,12.75,104000,12.75
2016-04-08,12.66,12.78,12.53,12.58,98500,12.58
2016-04-07,12.48,12.58,12.35,12.56,97700,12.56
2016-04-06,12.49,12.61,12.46,12.51,135700,12.51
2016-04-05,12.52,12.65,12.49,12.52,67200,12.52
2016-04-04,12.64,12.78,12.51,12.59,153800,12.59
2016-04-01,12.52,12.60,12.50,12.54,77400,12.54
2016-03-31,12.48,12.66,12.43,12.57,88300,12.57
2016-03-30,12.64,12.70,12.52,12.54,94000,12.54
2016-03-29,12.30,12.74,12.25,12.73,148900,12.635
2016-03-28,12.37,12.41,12.10,12.30,149800,12.208209
2016-03-24,11.99,12.39,11.96,12.30,174400,12.208209
2016-03-23,12.17,12.20,12.00,12.00,115400,11.910448
2016-03-22,12.23,12.29,12.12,12.20,86300,12.108955
2016-03-21,12.48,12.51,12.30,12.31,101500,12.218135
2016-03-18,12.54,12.58,12.37,12.43,171300,12.337239
2016-03-17,12.27,12.55,12.25,12.49,113100,12.396791
2016-03-16,11.96,12.28,11.94,12.24,94300,12.148657
2016-03-15,12.05,12.09,11.93,12.00,63400,11.910448
2016-03-14,12.01,12.21,12.01,12.06,93900,11.97
2016-03-11,12.05,12.19,11.98,12.17,207400,12.079179
2016-03-10,12.05,12.05,11.77,11.95,125200,11.860821
2016-03-09,12.01,12.09,11.85,11.93,94800,11.840971
2016-03-08,12.19,12.19,11.85,11.99,192200,11.900522
2016-03-07,11.78,12.30,11.78,12.23,201700,12.138731
2016-03-04,12.00,12.03,11.73,11.80,169200,11.711941
2016-03-03,11.52,12.03,11.49,12.02,354400,11.930299
2016-03-02,11.26,11.55,11.26,11.53,201700,11.443955
2016-03-01,11.18,11.30,11.15,11.25,161700,11.166045
2016-02-29,11.05,11.36,11.00,11.22,137000,11.041978
2016-02-26,11.01,11.34,11.01,11.05,229200,10.874675
2016-02-25,10.66,11.03,10.51,11.01,272900,10.83531
2016-02-24,10.34,10.45,10.13,10.41,93700,10.244829
2016-02-23,10.49,10.59,10.35,10.42,77700,10.254671
2016-02-22,10.54,10.63,10.46,10.49,124400,10.32356
2016-02-19,10.36,10.70,10.36,10.47,115000,10.303878
2016-02-18,10.38,10.51,10.25,10.41,114700,10.244829
2016-02-17,10.11,10.46,10.11,10.31,128600,10.146417
2016-02-16,9.96,10.19,9.94,10.10,131000,9.939749
2016-02-12,9.97,10.10,9.87,9.91,109900,9.752763
2016-02-11,9.81,9.98,9.77,9.87,127700,9.713397
2016-02-10,10.00,10.17,9.91,9.94,118700,9.782286
2016-02-09,10.00,10.20,9.84,9.90,186200,9.742921
2016-02-08,10.45,10.55,9.96,10.13,233800,9.969272
2016-02-05,10.59,10.66,10.50,10.51,126200,10.343243
2016-02-04,10.65,10.71,10.55,10.60,132900,10.431815
2016-02-03,10.89,10.92,10.61,10.65,206900,10.481021
2016-02-02,10.86,10.94,10.70,10.83,107400,10.658166
2016-02-01,10.91,11.12,10.88,10.92,175700,10.746738
2016-01-29,10.94,11.11,10.88,11.02,261900,10.751659
2016-01-28,10.77,11.13,10.66,10.85,227100,10.585798
