Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,11.04,11.04,10.41,10.81,404600,10.81
2016-04-18,11.81,11.81,10.08,10.81,1631200,10.81
2016-04-15,12.02,12.38,12.02,12.09,225100,12.09
2016-04-14,12.25,12.65,11.79,12.25,525200,12.25
2016-04-13,11.91,12.10,11.40,12.07,555200,12.07
2016-04-12,11.24,11.75,11.24,11.56,617100,11.56
2016-04-11,10.99,12.45,10.93,11.17,1185700,11.17
2016-04-08,11.24,11.66,10.33,11.00,1161300,11.00
2016-04-07,12.70,12.86,10.98,11.05,912200,11.05
2016-04-06,12.51,13.35,11.88,12.62,1056600,12.62
2016-04-05,14.11,14.87,12.12,12.41,988100,12.41
2016-04-04,12.87,14.50,12.75,14.12,1081100,14.12
2016-04-01,11.32,12.98,11.11,12.81,664600,12.81
2016-03-31,11.90,11.90,11.226,11.64,397200,11.64
2016-03-30,9.98,11.98,9.96,11.85,1509000,11.85
2016-03-29,9.90,9.99,9.63,9.99,328000,9.99
2016-03-28,9.51,9.99,9.453,9.96,328600,9.96
2016-03-24,8.78,9.80,8.62,9.59,415500,9.59
2016-03-23,9.65,9.70,8.90,9.16,290900,9.16
2016-03-22,9.20,9.68,8.70,9.57,447500,9.57
2016-03-21,8.65,10.04,8.65,9.30,1235800,9.30
2016-03-18,7.77,8.94,7.70,8.65,669000,8.65
2016-03-17,7.25,7.87,7.25,7.70,316900,7.70
2016-03-16,7.63,7.708,7.28,7.38,168600,7.38
2016-03-15,7.75,7.99,7.409,7.50,244500,7.50
2016-03-14,8.02,8.14,7.50,7.70,475800,7.70
2016-03-11,8.03,8.44,7.62,8.09,660300,8.09
2016-03-10,6.30,8.48,6.24,7.95,1706300,7.95
2016-03-09,5.86,6.30,5.625,6.24,571600,6.24
2016-03-08,5.43,5.89,5.43,5.83,243100,5.83
2016-03-07,5.43,5.68,5.38,5.50,272200,5.50
2016-03-04,5.94,5.98,5.334,5.37,155100,5.37
2016-03-03,6.00,6.00,5.86,5.98,93000,5.98
2016-03-02,6.00,6.04,5.91,5.99,66100,5.99
2016-03-01,6.04,6.07,5.81,5.90,53300,5.90
2016-02-29,6.18,6.25,5.825,5.95,131100,5.95
2016-02-26,5.85,6.28,5.833,6.18,364600,6.18
2016-02-25,5.38,5.84,5.19,5.84,269300,5.84
2016-02-24,5.51,5.60,5.27,5.50,283600,5.50
2016-02-23,5.48,5.89,5.45,5.72,355400,5.72
2016-02-22,4.94,5.75,4.865,5.53,466200,5.53
2016-02-19,4.49,4.87,4.34,4.80,528000,4.80
2016-02-18,4.26,4.49,4.01,4.42,594000,4.42
2016-02-17,4.49,4.79,4.23,4.26,514000,4.26
2016-02-16,3.90,4.56,3.80,4.32,436900,4.32
2016-02-12,3.62,3.75,3.35,3.68,347100,3.68
2016-02-11,3.71,3.71,3.40,3.56,400700,3.56
2016-02-10,3.81,4.00,3.74,3.76,169000,3.76
2016-02-09,4.03,4.11,3.71,3.83,478200,3.83
2016-02-08,4.20,4.645,4.02,4.11,223400,4.11
2016-02-05,4.70,4.70,4.30,4.36,188000,4.36
2016-02-04,4.88,5.05,4.60,4.70,531900,4.70
2016-02-03,5.33,5.33,4.66,4.84,828600,4.84
2016-02-02,6.16,6.28,4.70,4.88,626800,4.88
2016-02-01,6.80,6.88,6.11,6.15,334300,6.15
2016-01-29,6.80,6.94,6.73,6.82,47300,6.82
2016-01-28,6.96,6.97,6.76,6.78,70500,6.78
2016-01-27,6.98,6.98,6.77,6.93,64600,6.93
2016-01-26,6.95,7.00,6.62,6.86,118900,6.86
2016-01-25,7.109,7.11,6.93,7.00,72300,7.00
2016-01-22,7.12,7.15,7.019,7.07,38500,7.07
2016-01-21,7.06,7.06,6.84,7.00,78100,7.00
2016-01-20,7.20,7.30,6.60,7.06,146000,7.06
2016-01-19,7.40,7.50,7.21,7.39,62300,7.39
2016-01-15,7.13,7.49,6.34,7.48,189700,7.48
2016-01-14,7.24,7.50,6.887,7.41,154800,7.41
2016-01-13,7.08,7.25,6.90,6.98,155400,6.98
2016-01-12,6.70,7.15,6.70,7.09,244200,7.09
2016-01-11,7.41,7.41,6.60,6.60,574200,6.60
2016-01-08,7.80,8.00,6.62,7.38,697800,7.38
2016-01-07,8.36,8.40,7.50,7.64,1022600,7.64
2016-01-06,8.48,8.80,8.35,8.44,662700,8.44
2016-01-05,9.01,9.32,8.30,8.43,393800,8.43
2016-01-04,9.28,9.49,8.90,8.96,402600,8.96
2015-12-31,9.50,9.76,9.33,9.45,304500,9.45
2015-12-30,9.82,9.82,9.29,9.53,199900,9.53
2015-12-29,9.90,10.28,9.81,9.85,556900,9.85
2015-12-28,9.41,9.98,9.41,9.95,336200,9.95
2015-12-24,9.55,9.59,9.35,9.50,61700,9.50
2015-12-23,9.52,9.60,9.35,9.45,137600,9.45
2015-12-22,9.45,9.60,9.23,9.60,192900,9.60
2015-12-21,9.30,9.49,9.10,9.31,471000,9.31
2015-12-18,10.00,10.39,8.35,9.10,5366800,9.10
