Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,12.30,12.37,12.26,12.34,62600,12.34
2016-04-18,12.21,12.26,12.19,12.25,64700,12.25
2016-04-15,12.20,12.28,12.16,12.20,55500,12.20
2016-04-14,12.20,12.24,12.19,12.20,44200,12.20
2016-04-13,12.16,12.24,12.14,12.24,44800,12.24
2016-04-12,12.09,12.18,12.07,12.08,44500,12.08
2016-04-11,12.11,12.16,12.02,12.08,85000,12.08
2016-04-08,12.15,12.23,12.09,12.09,37000,12.09
2016-04-07,12.05,12.14,12.02,12.07,45100,12.07
2016-04-06,12.15,12.26,12.13,12.23,54800,12.117999
2016-04-05,12.05,12.16,12.05,12.14,206200,12.028824
2016-04-04,12.14,12.20,12.06,12.06,75800,11.949557
2016-04-01,11.87,12.27,11.87,12.20,57500,12.088274
2016-03-31,11.97,12.08,11.95,11.99,60500,11.880197
2016-03-30,12.00,12.02,11.96,11.96,36900,11.850472
2016-03-29,11.90,12.00,11.90,11.96,46400,11.850472
2016-03-28,11.84,11.94,11.84,11.91,48200,11.80093
2016-03-24,11.88,11.96,11.82,11.85,94800,11.74148
2016-03-23,12.02,12.02,11.91,11.91,69700,11.80093
2016-03-22,12.02,12.03,11.97,12.01,68200,11.900015
2016-03-21,11.95,12.04,11.95,12.02,78800,11.909923
2016-03-18,11.98,12.01,11.92,11.96,78500,11.850472
2016-03-17,11.86,11.95,11.86,11.95,47100,11.840564
2016-03-16,11.79,11.85,11.78,11.83,29000,11.721663
2016-03-15,11.72,11.79,11.71,11.79,61200,11.682029
2016-03-14,11.74,11.79,11.71,11.77,25500,11.662213
2016-03-11,11.76,11.79,11.72,11.73,107700,11.622578
2016-03-10,11.73,11.74,11.66,11.72,54900,11.61267
2016-03-09,11.69,11.70,11.64,11.66,47000,11.553219
2016-03-08,11.76,11.80,11.69,11.74,46800,11.557183
2016-03-07,11.73,11.80,11.72,11.78,43900,11.59656
2016-03-04,11.64,11.78,11.64,11.75,54900,11.567027
2016-03-03,11.63,11.68,11.62,11.66,25500,11.478429
2016-03-02,11.58,11.64,11.56,11.63,56200,11.448896
2016-03-01,11.44,11.61,11.35,11.58,102400,11.399675
2016-02-29,11.36,11.45,11.36,11.44,39600,11.261854
2016-02-26,11.36,11.41,11.35,11.40,37400,11.222477
2016-02-25,11.23,11.34,11.23,11.33,38700,11.153568
2016-02-24,11.13,11.27,11.06,11.26,47400,11.084658
2016-02-23,11.25,11.30,11.18,11.21,73500,11.035436
2016-02-22,11.26,11.33,11.25,11.30,66000,11.124035
2016-02-19,11.17,11.19,11.09,11.19,53100,11.015747
2016-02-18,11.19,11.25,11.16,11.17,41700,10.996059
2016-02-17,11.08,11.26,11.03,11.20,36500,11.025592
2016-02-16,10.98,11.10,10.98,11.07,54100,10.897616
2016-02-12,10.72,10.90,10.72,10.90,46200,10.730263
2016-02-11,10.73,10.75,10.61,10.73,70100,10.562911
2016-02-10,10.81,10.92,10.72,10.82,67800,10.651509
2016-02-09,10.79,10.92,10.79,10.81,62300,10.641666
2016-02-08,11.07,11.07,10.94,11.00,41700,10.75389
2016-02-05,11.35,11.36,11.13,11.17,62900,10.920087
2016-02-04,11.30,11.42,11.29,11.36,21100,11.105835
2016-02-03,11.33,11.38,11.18,11.31,28100,11.056955
2016-02-02,11.36,11.36,11.26,11.34,29500,11.086283
2016-02-01,11.35,11.49,11.31,11.45,139400,11.193822
2016-01-29,11.25,11.43,11.25,11.41,56400,11.154717
2016-01-28,11.25,11.32,11.18,11.27,22600,11.01785
2016-01-27,11.23,11.31,11.15,11.18,45100,10.929863
