Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,25.59,25.65,25.50,25.549999,219000,25.549999
2016-04-18,25.52,25.639999,25.379999,25.530001,372700,25.530001
2016-04-15,25.549999,25.549999,25.450001,25.48,76100,25.48
2016-04-14,25.48,25.540001,25.43,25.50,195300,25.50
2016-04-13,25.48,25.48,25.403999,25.42,169300,25.42
2016-04-12,25.379999,25.49,25.379999,25.440001,192700,25.440001
2016-04-11,25.42,25.49,25.42,25.42,97800,25.42
2016-04-08,25.49,25.549999,25.370001,25.389999,145400,25.389999
2016-04-07,25.50,25.530001,25.26,25.360001,100200,25.360001
2016-04-06,25.389999,25.549999,25.389999,25.42,171800,25.42
2016-04-05,25.35,25.469,25.08,25.370001,158100,25.370001
2016-04-04,25.549999,25.610001,25.35,25.40,119000,25.40
2016-04-01,25.700001,25.73,25.539,25.629999,111900,25.629999
2016-03-31,25.50,25.722,25.50,25.690001,145800,25.690001
2016-03-30,25.59,25.66,25.450001,25.51,194000,25.51
2016-03-29,25.549999,25.700001,25.40,25.58,440300,25.58
2016-03-28,25.48,25.790001,25.27,25.48,453600,25.48
